name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
microsoft/vscode,https://github.com/microsoft/vscode,188653,2015-09-03T20:23:38+00:00,2026-08-13T14:38:21+00:00,233305,250691,10.94,3996.83,51816,233,0.07,TypeScript,0.9306
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,186905,2020-01-12T23:03:34+00:00,2026-07-04T16:54:38+00:00,1065,1068,6.58,2404.71,7,31,39.97,Batchfile,0.9972
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186585,2023-03-16T09:21:07+00:00,2026-08-13T14:02:01+00:00,3638,3939,3.41,1246.29,4746,117,0.09,Python,0.9236
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185170,2018-03-01T16:05:52+00:00,2026-07-29T15:18:29+00:00,192,729,8.45,3087.0,13,0,15.04,Jupyter Notebook,0.2634
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185035,2018-02-13T14:56:24+00:00,2024-08-21T09:40:10+00:00,449,579,8.5,3103.05,374,0,722.27,Undefined,0.7755
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184653,2013-11-16T02:37:24+00:00,2026-02-15T04:36:44+00:00,947,947,12.74,4653.57,370,0,179.48,Undefined,1.0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,184236,2020-10-26T04:22:55+00:00,2026-08-04T22:58:34+00:00,9920,11898,5.8,2117.49,3387,135,8.72,Python,0.8338
avelino/awesome-go,https://github.com/avelino/awesome-go,180958,2014-07-06T13:42:15+00:00,2026-08-13T13:50:42+00:00,736,757,12.1,4421.1,3864,0,0.1,Go,0.9723
ollama/ollama,https://github.com/ollama/ollama,178439,2023-06-26T19:39:32+00:00,2026-08-12T23:45:56+00:00,8569,10949,3.13,1143.86,3514,241,0.69,Go,0.7826
flutter/flutter,https://github.com/flutter/flutter,178379,2015-03-06T22:54:58+00:00,2026-08-13T14:29:29+00:00,102582,115142,11.44,4177.72,49529,7,0.07,Dart,0.8909
github/gitignore,https://github.com/github/gitignore,175280,2010-11-08T20:17:14+00:00,2026-07-23T16:06:45+00:00,0,0,15.76,5756.83,1779,0,21.0,Undefined,0.0
twbs/bootstrap,https://github.com/twbs/bootstrap,174577,2011-07-29T21:19:00+00:00,2026-08-13T03:36:08+00:00,22838,22940,15.04,5493.79,9481,94,0.53,MDX,0.9956
microsoft/markitdown,https://github.com/microsoft/markitdown,173527,2024-11-13T19:56:40+00:00,2026-07-29T18:18:09+00:00,181,564,1.75,637.84,183,20,14.91,Python,0.3209
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,170704,2016-05-04T06:24:11+00:00,2026-08-02T07:58:25+00:00,2708,3296,10.28,3753.41,17,68,11.34,Python,0.8216
anthropics/skills,https://github.com/anthropics/skills,168816,2025-09-22T15:53:31+00:00,2026-08-07T17:14:15+00:00,48,361,0.89,325.01,46,0,5.96,Python,0.133
f/prompts.chat,https://github.com/f/prompts.chat,167082,2022-12-05T13:54:13+00:00,2026-08-13T03:49:09+00:00,152,172,3.69,1347.1,237,0,0.52,HTML,0.8837
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,166795,2024-04-15T21:02:29+00:00,2026-08-13T14:15:52+00:00,885,949,2.33,849.8,1920,35,0.08,TypeScript,0.9326
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164504,2022-08-22T14:05:26+00:00,2026-03-02T07:00:53+00:00,5491,7913,3.98,1452.09,1875,27,164.38,Python,0.6939
huggingface/transformers,https://github.com/huggingface/transformers,164057,2018-10-29T13:56:00+00:00,2026-08-13T13:41:22+00:00,18409,19304,7.79,2845.09,20148,268,0.11,Python,0.9536
