name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
NervJS/taro,https://github.com/NervJS/taro,37642,2018-04-08T09:32:26+00:00,2026-08-17T07:57:14+00:00,12079,13571,8.36,3054.55,3498,211,1.62,TypeScript,0.8901
fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,37583,2017-11-04T10:04:08+00:00,2025-08-25T04:02:38+00:00,15,70,8.79,3209.53,14,0,358.78,HTML,0.2143
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,37564,2023-03-27T09:59:10+00:00,2026-08-04T07:47:32+00:00,1483,2048,3.4,1240.53,0,8,14.63,Python,0.7241
shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,37532,2025-07-01T02:54:32+00:00,2026-04-13T12:38:49+00:00,85,291,1.13,413.83,19,0,127.42,Python,0.2921
Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,37524,2025-12-18T02:26:18+00:00,2026-08-18T16:51:41+00:00,937,2977,0.67,243.85,1430,38,0.25,Go,0.3147
karpathy/LLM101n,https://github.com/karpathy/LLM101n,37506,2024-05-27T00:23:38+00:00,2024-08-01T01:20:33+00:00,0,0,2.23,813.93,0,0,747.89,Undefined,0.0
alibaba/arthas,https://github.com/alibaba/arthas,37491,2018-08-29T17:15:57+00:00,2026-08-14T02:31:32+00:00,1772,2163,7.97,2911.23,626,78,4.84,Java,0.8192
TriliumNext/Trilium,https://github.com/TriliumNext/Trilium,37486,2017-05-23T00:30:20+00:00,2026-08-18T20:15:41+00:00,4975,5573,9.24,3374.93,3183,353,0.11,TypeScript,0.8927
aquasecurity/trivy,https://github.com/aquasecurity/trivy,37480,2019-04-11T01:01:07+00:00,2026-08-17T12:43:05+00:00,2951,3118,7.36,2686.91,3714,92,1.42,Go,0.9464
alebcay/awesome-shell,https://github.com/alebcay/awesome-shell,37461,2014-07-07T01:57:42+00:00,2025-08-28T14:40:51+00:00,23,64,12.12,4425.87,307,0,355.34,Undefined,0.3594
directus/directus,https://github.com/directus/directus,37456,2012-12-12T01:35:36+00:00,2026-08-18T21:50:27+00:00,9645,9993,13.68,4997.88,9179,372,0.04,TypeScript,0.9652
PKUanonym/REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,37432,2019-04-05T03:31:23+00:00,2026-07-19T14:30:25+00:00,33,37,7.37,2692.8,198,0,30.35,HTML,0.8919
